param;name;Information;Body;Mass;Type_ВВ;Massa_BB;Segment_radius;Segment_angle;Mine_height;Type_of_target_sensors;Length_of_the_target_tension_sensor;The_actuation_force_of_the_target_tension_sensor;The_time_of_bringing_the_combat_position;The_height_of_the_splinter_spread;The_radius_of_defeat;The_radius_of_separation_of_individual_fragments;Recoverability;Decontamination;Self-destruction;Diameter_mine;Diameter_of_the_pressure_sensor_of_the_target;Combat_operation_time;Temperatura;Vzrivatel;Dlina_mine;tolshina_mine;broneboynost;The_radius_of_the_target_detection_range;non-involvement;Photo
protivpexot;SB33 (Италия);SB-33 может устанавливаться вручную или рассеиваются с помощью вертолетной установки SY-AT системы. Корпус мины состоит из двух половин из армированного стекловолокна поликарбоната , причем на верхней поверхности находится центральная прижимная площадка из неопрена. Корпус имеет неправильную форму, чтобы мину было труднее различить на земле. Существует еще одна версия SB-33, называемая SB-33AR (имеет ртутный датчик наклона).;;140 г;RDX / HMX (98% / 2%);35 г;;;30 мм;;;8 кг;;;;;нет;нет;нет;85 мм;;не ограничивается;;;;;;;;"SB33_1.png
SB33_2.png"
protivpexot;ПМА-2 (Югославия);"Мина ПМА-2 противопехотная фугасная нажимного действия. Нейтрализация. Устройств самоликвидации или самонейтрализации мина не имеет. Нейтрализация достигается вставлением в отверстие на боковой стороне взрывателя предохранительной чеки или подходящей по диаметру отверстия проволоки длиной 3-4 см.
Обезвреживание.
Для разоружения мины необходимо вывинтить взрыватель из корпуса мины, предварительно нейтрализовав взрыватель предохранительной чекой. Примечания. Мина экспортировалась в Анголу, Намибию, широко применялась в ходе гражданской войны в Югославии в девяностых годах в Боснии, Хорватии, Косово. Мина крайне почти не обнаруживается металлодетекторами, т.к. единственная металлическая деталь - алюминиевый корпус детонатора.";пластмасса;135гр;тротил;100 гр;;;6.1 см;;;7-15 кг;;;;;да;да;нет;6.8 см;Около 3см;не ограничивается;;Встроенный (UPMAH-2);;7 см;;;;"PMA-2_1.png
PMA-2_2.png "
protivtank;"M93 ""Шершень"" (США)";Тактико-технические характеристики мины M93 WAM (HEHORNET). Тип  боеприпаса: противотанковый / противотранспортный кумулятивный ( ударное ядро) высотный поражающий в крышу Тактическое предназначение: уничтожение танков и легкобронированных машин;металл ;15.876 кг;;;;;;;;;;;;;;;да;;;;от -1 до +50 градусов;;;;90 мм;100 м;да;"M93_1.png
M93_2.png"
protivtank;Тип 13 (Швеция);Мина противотранспортная комбинированного типа (кумулятивно - осколочного) направленного поражения управляемая. Предназначена для выведения из строя не бронированной и легко бронированной наземной техники противника, низколетящих самолетов и вертолетов. Поражение транспортному средству наносится за счет повреждения корпуса, кабины, членов экипажа готовыми убойными элементами (шарики или ролики) и ударным ядром, образующимся за счет кумулятивного эффекта. По состоянию на 2001 год состоит на вооружении армии Швеции. Мина может устанавливаться на грунт или крепиться к местным предметам (столбы, стены, стволы деревьев и т.п.) вручную. Установка средствами механизации не предусматривалась.;пластмасса;20 кг;гексотол;7.5 кг;;;25 см;;;;;;;;;нет;нет;;;;;;42 см;10 см;;;нет;Tip_13_1.png
protivtank;М70, М73 (США);По своей сути это две противотанковые мины, входящие в состав системы дистанционного минирования RAAM семейства разбрасываемых мин FASCAM, но поскольку они по способу доставки к месту установки отличаются от традиционных мин, то по номенклатуре армии США им дан статус не мин, а боеприпасов, точнее, поражающих элементов. Обе мины совершенно идентичны по внешнему виду, размерам, устройству, взрыво-весовым характеристикам и различаются между собой лишь временем боевой работы ( сроком самоликвидации). Мина противотанковая противоднищевая кумулятивная. Предназначена для выведения из строя экипажей танков и других машин. Взрыватель реагирует на магнитное поле машины и инициирует взрыв по достижении заданной пороговой величины напряженности магнитного поля.;;;;;;;;;;;;;;;;;;;;;;;;;;;;M70,M73_1.png
protivtank;М15 (США);Мина противотанковая противогусеничная. Предназначена для выведения из строя гусеничной и колесной техники противника. Поражение машинам противника наносится за счет разрушения их ходовой части при взрыве заряда мины в момент наезжания колеса (катка) на нажимную крышку мины (взрыватель М603) или наклона взрывателя (взрыватель М624). По американской классификации относится к минам типа M-Kill (т.е. наносящая поражение только машине). Принята на вооружение армии США в 1953 году. По состоянию на 2005 год является основной американской противотанковой миной устанавливаемой вручную. Срок боевой работы мины руководящими документами не определен. При разрушении металлического корпуса мины от коррозии чувствительность мины возрастает со 150-338 кг. до 3-5 кг. Самоликвидатором мина не оснащается. На боковой стенке корпуса и на днище имеются гнезда для установки для установки взрывателя неизвлекаемости, заклеенные липкой лентой или закрытые винтовой пробкой. Тип мины: противогусеничная фугасная нажимного действия / противоднищевая фугасная наклонного действия.;металл;13.6-14.3 кг;Composition B;9.9-10.3 кг;;;12.4 см;;;;;;;;;;;33.4 см;;;;М603, М624;;;;;;"M15_1.png
M15_2.png"
protivtank;TMRP-6 (Югославия);Пластмассовый корпус, круглой формы, зеленого цвета. Может устанавливаться со штырем. Противотанковая, нажимная, противоднищевая, противобортовая.;пластмасса;;Тротил;5.2 кг;;;;;;150 кг;;;;;;;;;;;;;;;;;;TMRP-6_1.png
protivtank;TS/6,1 (Италия);Мина противотанковая противогусеничная. Предназначена для выведения из строя гусеничной и колесной техники противника. Поражение машинам противника наносится за счет разрушения их ходовой части при взрыве заряда мины в момент наезжания колеса (катка) на нажимную крышку мины. Мина может устанавливаться как на грунт, так и в грунт, в снег, под воду вручную. Корпус мины изготовлен из ударопрочной пластмассы и состоит из двух частей, соединяющихся между собой резьбовым соединение. Верхняя часть корпуса имеет также резьбу для присоединения кольца с нажимной крышкой (датчик цели). На снимке сверху мина показана с кольцом, но без нажимной крышки. Мина снаряжается плавленым тротилом, Для ручной переноски мины на корпусе имеется веревочная ручка, продеваемая сквозь отверстия в ребрах корпуса;пластмасса;9.8 кг;Тротил, пластит;6.15 кг;;;;;;200-500 кг;;;;;;;;27 см;18 см;;;;;;;;;TS6,1_1.png
protivtank;IMS (США);"Управляемая противотанково- противопехотная система IMS (мина XM1100 Scorpion). Принцип работы: На местности устанавливался удаленный модуль, объединявший в себе блок контроля и управления, в состав которого входили узел контроля, управления и связи, независимые датчики UGS, отстреливаемые боеприпасы. После активации все компоненты отстреливались с помощью газогенераторов и устанавливали связь между собой и со станцией дистанционного управления по радиоканалу. Заявлялось, что система связи является самоподдерживающееся и самовосстанавливающейся, т.е. все элементы могли работать и в качестве ретрансляторов в случае ухудшения связи . При появлении цели в радиусе 600 м срабатывали акустические датчики, передавая информацию на узел контроля и управления; при приближении цели в работу включались датчики сейсмические; на узле управления происходило сличение имеющихся в его памяти сигнатур целей, анализировались скорость и направление движения. При входе цели в зону поражения отстреливались СПБЭ SKEET, вращающиеся со скоростью 30 об/сек. и сканирующие под собой местность с помощью инфракрасной системы наведения; при сканировании 1 суббоеприпас по расширяющейся спирали покрывал круг радиусом до 50 м. При обнаружении цели он подрывался, формируя ударное ядро и круг из осколков";;;;;;;;;;;;;;;;;нет;;;;;;;;;;нет;IMS_1.png
protivtank;DM31 (Германия);Принята на вооружение Бундесвера в октябре 1989 г. и состоит на вооружении по состоянию на 2011 год. Мина противотанковая противоднищевая кумулятивного действия с магнитным датчиком цели. Предназначена для уничтожения или выведения из строя гусеничной и колесной техники противника. Поражение гусеничным машинам противника наносится за счет пробивания днища кумулятивной струей, вследствие чего внутри машины повреждаются элементы трансмиссии, вооружения, иного оборудования и возникает пожар. При наезде гусеничной машины гусеницей на мину происходит повреждение одного-двух траков, что может машину вывести из строя. Однако в этом случае не происходит образования кумулятивной струи из-за того, что не происходит сброса крышки и маскирующего слоя грунта. Относительно небольшая масса заряда (3.9 кг.) недостаточна для надежного перебивания гусеницы. Срок боевой работы 38-42 суток, который ограничен электронным таймером. По истечении срока боевой работы мина гарантированно самонейтрализуется. При этом характерной особенностью мины является то, что как только мина самонейтрализовалась, из корпуса вверх (пробивая слой маскирующего грунта) вверх выбрасывается на пружинке сигнальный цилиндрик ярко-красного цвета, видимый издалека. Самонейтрализовавшуюся мину можно безопасно снимать. Такие мины подлежат сдаче в специализированные инженерные подразделения для переснаряжения и повторного использования. Гнезд для взрывателей и иных устройств неизвлекаемости в мине не имеется.;листовой алюминий;8.4 кг;Композиция В (гексоген, тротил, воск) шифр- ТR 8510;3.9 кг;;;13,35 см;;;;;;;;нет;нет;нет;25.4 см;;;от -35 до +63 градуса;;;;;;нет;"DM31_1.png
DM31_2.png"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
